"Time (UTC),""Belgium (BE) > Germany (DE) Day Ahead [MW]"",""Belgium (BE) > Germany (DE) Total [MW]"",""Germany (DE) > Belgium (BE) Day Ahead [MW]"",""Germany (DE) > Belgium (BE) Total [MW]"""
"14.02.2021 07:45 - 14.02.2021 08:00,""1000"",""1014"",""0"",""214"""
"14.02.2021 08:00 - 14.02.2021 08:15,""1000"",""1000"",""0"",""140"""
"14.02.2021 08:15 - 14.02.2021 08:30,""1000"",""1000"",""0"",""135"""
"14.02.2021 08:30 - 14.02.2021 08:45,""1000"",""1000"",""0"",""124"""
"14.02.2021 08:45 - 14.02.2021 09:00,""1000"",""1000"",""0"",""124"""
"14.02.2021 09:00 - 14.02.2021 09:15,""1000"",""1000"",""0"",""26"""
"14.02.2021 09:15 - 14.02.2021 09:30,""1000"",""1000"",""0"",""0"""
"14.02.2021 09:30 - 14.02.2021 09:45,""1000"",""1000"",""0"",""0"""
"14.02.2021 09:45 - 14.02.2021 10:00,""1000"",""1000"",""0"",""0"""
"14.02.2021 10:00 - 14.02.2021 10:15,""923"",""923"",""0"",""0"""
"14.02.2021 10:15 - 14.02.2021 10:30,""923"",""923"",""0"",""0"""
"14.02.2021 10:30 - 14.02.2021 10:45,""923"",""923"",""0"",""0"""
"14.02.2021 10:45 - 14.02.2021 11:00,""923"",""923"",""0"",""0"""
"14.02.2021 11:00 - 14.02.2021 11:15,""500"",""500"",""0"",""99"""
"14.02.2021 11:15 - 14.02.2021 11:30,""500"",""500"",""0"",""99"""
"14.02.2021 11:30 - 14.02.2021 11:45,""500"",""500"",""0"",""99"""
"14.02.2021 11:45 - 14.02.2021 12:00,""500"",""500"",""0"",""99"""
"14.02.2021 12:00 - 14.02.2021 12:15,""561"",""582"",""0"",""100"""
"14.02.2021 12:15 - 14.02.2021 12:30,""561"",""591"",""0"",""100"""
"14.02.2021 12:30 - 14.02.2021 12:45,""561"",""591"",""0"",""100"""
"14.02.2021 12:45 - 14.02.2021 13:00,""561"",""591"",""0"",""100"""
"14.02.2021 13:00 - 14.02.2021 13:15,""454"",""677"",""0"",""800"""
"14.02.2021 13:15 - 14.02.2021 13:30,""454"",""656"",""0"",""802"""
"14.02.2021 13:30 - 14.02.2021 13:45,""454"",""638"",""0"",""808"""
"14.02.2021 13:45 - 14.02.2021 14:00,""454"",""638"",""0"",""809"""
"14.02.2021 14:00 - 14.02.2021 14:15,""543"",""786"",""0"",""968"""
"14.02.2021 14:15 - 14.02.2021 14:30,""543"",""784"",""0"",""990"""
"14.02.2021 14:30 - 14.02.2021 14:45,""543"",""786"",""0"",""1012"""
"14.02.2021 14:45 - 14.02.2021 15:00,""543"",""781"",""0"",""1026"""
"14.02.2021 15:00 - 14.02.2021 15:15,""264"",""370"",""0"",""594"""
"14.02.2021 15:15 - 14.02.2021 15:30,""264"",""300"",""0"",""530"""
"14.02.2021 15:30 - 14.02.2021 15:45,""264"",""300"",""0"",""547"""
"14.02.2021 15:45 - 14.02.2021 16:00,""264"",""300"",""0"",""539"""
"14.02.2021 16:00 - 14.02.2021 16:15,""125"",""174"",""0"",""844"""
"14.02.2021 16:15 - 14.02.2021 16:30,""125"",""177"",""0"",""847"""
"14.02.2021 16:30 - 14.02.2021 16:45,""125"",""176"",""0"",""846"""
"14.02.2021 16:45 - 14.02.2021 17:00,""125"",""179"",""0"",""849"""
"14.02.2021 17:00 - 14.02.2021 17:15,""0"",""0"",""189"",""520"""
"14.02.2021 17:15 - 14.02.2021 17:30,""0"",""0"",""189"",""520"""
"14.02.2021 17:30 - 14.02.2021 17:45,""0"",""1"",""189"",""521"""
"14.02.2021 17:45 - 14.02.2021 18:00,""0"",""0"",""189"",""520"""
"14.02.2021 18:00 - 14.02.2021 18:15,""0"",""17"",""266"",""383"""
"14.02.2021 18:15 - 14.02.2021 18:30,""0"",""17"",""266"",""383"""
"14.02.2021 18:30 - 14.02.2021 18:45,""0"",""17"",""266"",""383"""
"14.02.2021 18:45 - 14.02.2021 19:00,""0"",""17"",""266"",""383"""
"14.02.2021 19:00 - 14.02.2021 19:15,""61"",""63"",""0"",""102"""
"14.02.2021 19:15 - 14.02.2021 19:30,""61"",""63"",""0"",""102"""
"14.02.2021 19:30 - 14.02.2021 19:45,""61"",""63"",""0"",""102"""
"14.02.2021 19:45 - 14.02.2021 20:00,""61"",""63"",""0"",""102"""
"14.02.2021 20:00 - 14.02.2021 20:15,""0"",""80"",""178"",""483"""
"14.02.2021 20:15 - 14.02.2021 20:30,""0"",""80"",""178"",""483"""
"14.02.2021 20:30 - 14.02.2021 20:45,""0"",""77"",""178"",""483"""
"14.02.2021 20:45 - 14.02.2021 21:00,""0"",""130"",""178"",""483"""
"14.02.2021 21:00 - 14.02.2021 21:15,""0"",""0"",""198"",""198"""
"14.02.2021 21:15 - 14.02.2021 21:30,""0"",""0"",""198"",""198"""
"14.02.2021 21:30 - 14.02.2021 21:45,""0"",""0"",""198"",""198"""
"14.02.2021 21:45 - 14.02.2021 22:00,""0"",""0"",""198"",""198"""
"14.02.2021 22:00 - 14.02.2021 22:15,""926"",""926"",""0"",""0"""
"14.02.2021 22:15 - 14.02.2021 22:30,""926"",""926"",""0"",""0"""
"14.02.2021 22:30 - 14.02.2021 22:45,""926"",""926"",""0"",""0"""
"14.02.2021 22:45 - 14.02.2021 23:00,""926"",""926"",""0"",""0"""
"14.02.2021 23:00 - 14.02.2021 23:15,""0"",""0"",""287"",""603"""
"14.02.2021 23:15 - 14.02.2021 23:30,""0"",""0"",""287"",""593"""
"14.02.2021 23:30 - 14.02.2021 23:45,""0"",""0"",""287"",""504"""
"14.02.2021 23:45 - 15.02.2021 00:00,""0"",""0"",""287"",""518"""
"15.02.2021 00:00 - 15.02.2021 00:15,""0"",""208"",""380"",""417"""
"15.02.2021 00:15 - 15.02.2021 00:30,""0"",""207"",""380"",""430"""
"15.02.2021 00:30 - 15.02.2021 00:45,""0"",""213"",""380"",""385"""
"15.02.2021 00:45 - 15.02.2021 01:00,""0"",""213"",""380"",""385"""
"15.02.2021 01:00 - 15.02.2021 01:15,""0"",""272"",""418"",""539"""
"15.02.2021 01:15 - 15.02.2021 01:30,""0"",""272"",""418"",""533"""
"15.02.2021 01:30 - 15.02.2021 01:45,""0"",""272"",""418"",""525"""
"15.02.2021 01:45 - 15.02.2021 02:00,""0"",""272"",""418"",""525"""
"15.02.2021 02:00 - 15.02.2021 02:15,""0"",""165"",""229"",""492"""
"15.02.2021 02:15 - 15.02.2021 02:30,""0"",""169"",""229"",""520"""
"15.02.2021 02:30 - 15.02.2021 02:45,""0"",""169"",""229"",""476"""
"15.02.2021 02:45 - 15.02.2021 03:00,""0"",""167"",""229"",""481"""
"15.02.2021 03:00 - 15.02.2021 03:15,""0"",""137"",""139"",""537"""
"15.02.2021 03:15 - 15.02.2021 03:30,""0"",""145"",""139"",""537"""
"15.02.2021 03:30 - 15.02.2021 03:45,""0"",""142"",""139"",""537"""
"15.02.2021 03:45 - 15.02.2021 04:00,""0"",""137"",""139"",""537"""
"15.02.2021 04:00 - 15.02.2021 04:15,""0"",""0"",""1000"",""1000"""
"15.02.2021 04:15 - 15.02.2021 04:30,""0"",""0"",""1000"",""1000"""
"15.02.2021 04:30 - 15.02.2021 04:45,""0"",""0"",""1000"",""1000"""
"15.02.2021 04:45 - 15.02.2021 05:00,""0"",""0"",""1000"",""1000"""
"15.02.2021 05:00 - 15.02.2021 05:15,""557"",""557"",""0"",""0"""
"15.02.2021 05:15 - 15.02.2021 05:30,""557"",""557"",""0"",""0"""
"15.02.2021 05:30 - 15.02.2021 05:45,""557"",""557"",""0"",""0"""
"15.02.2021 05:45 - 15.02.2021 06:00,""557"",""557"",""0"",""0"""
"15.02.2021 06:00 - 15.02.2021 06:15,""1000"",""1000"",""0"",""0"""
"15.02.2021 06:15 - 15.02.2021 06:30,""1000"",""1000"",""0"",""0"""
"15.02.2021 06:30 - 15.02.2021 06:45,""1000"",""1000"",""0"",""0"""
"15.02.2021 06:45 - 15.02.2021 07:00,""1000"",""1000"",""0"",""0"""
"15.02.2021 07:00 - 15.02.2021 07:15,""218"",""218"",""0"",""0"""
"15.02.2021 07:15 - 15.02.2021 07:30,""218"",""218"",""0"",""0"""
"15.02.2021 07:30 - 15.02.2021 07:45,""218"",""218"",""0"",""0"""
"15.02.2021 07:45 - 15.02.2021 08:00,""218"",""218"",""0"",""0"""
"15.02.2021 08:00 - 15.02.2021 08:15,""1000"",""1000"",""0"",""0"""
"15.02.2021 08:15 - 15.02.2021 08:30,""1000"",""1000"",""0"",""0"""
"15.02.2021 08:30 - 15.02.2021 08:45,""1000"",""1000"",""0"",""0"""
"15.02.2021 08:45 - 15.02.2021 09:00,""1000"",""1000"",""0"",""0"""
"15.02.2021 09:00 - 15.02.2021 09:15,""1000"",""1000"",""0"",""0"""
"15.02.2021 09:15 - 15.02.2021 09:30,""1000"",""1000"",""0"",""0"""
"15.02.2021 09:30 - 15.02.2021 09:45,""1000"",""1000"",""0"",""0"""
"15.02.2021 09:45 - 15.02.2021 10:00,""1000"",""1000"",""0"",""0"""
"15.02.2021 10:00 - 15.02.2021 10:15,""845"",""845"",""0"",""0"""
"15.02.2021 10:15 - 15.02.2021 10:30,""845"",""845"",""0"",""0"""
"15.02.2021 10:30 - 15.02.2021 10:45,""845"",""845"",""0"",""0"""
"15.02.2021 10:45 - 15.02.2021 11:00,""845"",""845"",""0"",""0"""
"15.02.2021 11:00 - 15.02.2021 11:15,""865"",""865"",""0"",""0"""
"15.02.2021 11:15 - 15.02.2021 11:30,""865"",""865"",""0"",""0"""
"15.02.2021 11:30 - 15.02.2021 11:45,""865"",""865"",""0"",""0"""
"15.02.2021 11:45 - 15.02.2021 12:00,""865"",""865"",""0"",""0"""
"15.02.2021 12:00 - 15.02.2021 12:15,""1000"",""1000"",""0"",""0"""
"15.02.2021 12:15 - 15.02.2021 12:30,""1000"",""1000"",""0"",""0"""
"15.02.2021 12:30 - 15.02.2021 12:45,""1000"",""1000"",""0"",""0"""
"15.02.2021 12:45 - 15.02.2021 13:00,""1000"",""1000"",""0"",""0"""
"15.02.2021 13:00 - 15.02.2021 13:15,""0"",""0"",""1000"",""1000"""
"15.02.2021 13:15 - 15.02.2021 13:30,""0"",""0"",""1000"",""1000"""
"15.02.2021 13:30 - 15.02.2021 13:45,""0"",""0"",""1000"",""1000"""
"15.02.2021 13:45 - 15.02.2021 14:00,""0"",""0"",""1000"",""1000"""
"15.02.2021 14:00 - 15.02.2021 14:15,""0"",""144"",""942"",""1010"""
"15.02.2021 14:15 - 15.02.2021 14:30,""0"",""120"",""942"",""1010"""
"15.02.2021 14:30 - 15.02.2021 14:45,""0"",""63"",""942"",""1010"""
"15.02.2021 14:45 - 15.02.2021 15:00,""0"",""73"",""942"",""1010"""
"15.02.2021 15:00 - 15.02.2021 15:15,""0"",""358"",""1000"",""1007"""
"15.02.2021 15:15 - 15.02.2021 15:30,""0"",""318"",""1000"",""1000"""
"15.02.2021 15:30 - 15.02.2021 15:45,""0"",""117"",""1000"",""1000"""
"15.02.2021 15:45 - 15.02.2021 16:00,""0"",""74"",""1000"",""1000"""
"15.02.2021 16:00 - 15.02.2021 16:15,""0"",""266"",""1000"",""1006"""
"15.02.2021 16:15 - 15.02.2021 16:30,""0"",""181"",""1000"",""1007"""
"15.02.2021 16:30 - 15.02.2021 16:45,""0"",""140"",""1000"",""1010"""
"15.02.2021 16:45 - 15.02.2021 17:00,""0"",""129"",""1000"",""1014"""
"15.02.2021 17:00 - 15.02.2021 17:15,""0"",""0"",""1000"",""1000"""
"15.02.2021 17:15 - 15.02.2021 17:30,""0"",""0"",""1000"",""1000"""
"15.02.2021 17:30 - 15.02.2021 17:45,""0"",""0"",""1000"",""1000"""
"15.02.2021 17:45 - 15.02.2021 18:00,""0"",""0"",""1000"",""1000"""
"15.02.2021 18:00 - 15.02.2021 18:15,""0"",""0"",""719"",""719"""
"15.02.2021 18:15 - 15.02.2021 18:30,""0"",""0"",""719"",""719"""
"15.02.2021 18:30 - 15.02.2021 18:45,""0"",""0"",""719"",""719"""
"15.02.2021 18:45 - 15.02.2021 19:00,""0"",""0"",""719"",""719"""
"15.02.2021 19:00 - 15.02.2021 19:15,""0"",""0"",""1000"",""1000"""
"15.02.2021 19:15 - 15.02.2021 19:30,""0"",""0"",""1000"",""1000"""
"15.02.2021 19:30 - 15.02.2021 19:45,""0"",""0"",""1000"",""1000"""
"15.02.2021 19:45 - 15.02.2021 20:00,""0"",""0"",""1000"",""1000"""
"15.02.2021 20:00 - 15.02.2021 20:15,""0"",""551"",""141"",""516"""
"15.02.2021 20:15 - 15.02.2021 20:30,""0"",""576"",""141"",""520"""
"15.02.2021 20:30 - 15.02.2021 20:45,""0"",""572"",""141"",""479"""
"15.02.2021 20:45 - 15.02.2021 21:00,""0"",""588"",""141"",""467"""
"15.02.2021 21:00 - 15.02.2021 21:15,""0"",""143"",""301"",""485"""
"15.02.2021 21:15 - 15.02.2021 21:30,""0"",""148"",""301"",""484"""
"15.02.2021 21:30 - 15.02.2021 21:45,""0"",""155"",""301"",""481"""
"15.02.2021 21:45 - 15.02.2021 22:00,""0"",""208"",""301"",""543"""
"15.02.2021 22:00 - 15.02.2021 22:15,""0"",""165"",""300"",""645"""
"15.02.2021 22:15 - 15.02.2021 22:30,""0"",""158"",""300"",""638"""
"15.02.2021 22:30 - 15.02.2021 22:45,""0"",""174"",""300"",""610"""
"15.02.2021 22:45 - 15.02.2021 23:00,""0"",""211"",""300"",""632"""
"15.02.2021 23:00 - 15.02.2021 23:15,""42"",""42"",""0"",""187"""
"15.02.2021 23:15 - 15.02.2021 23:30,""42"",""42"",""0"",""128"""
"15.02.2021 23:30 - 15.02.2021 23:45,""42"",""42"",""0"",""115"""
"15.02.2021 23:45 - 16.02.2021 00:00,""42"",""42"",""0"",""111"""
"16.02.2021 00:00 - 16.02.2021 00:15,""428"",""501"",""0"",""107"""
"16.02.2021 00:15 - 16.02.2021 00:30,""428"",""505"",""0"",""107"""
"16.02.2021 00:30 - 16.02.2021 00:45,""428"",""513"",""0"",""107"""
"16.02.2021 00:45 - 16.02.2021 01:00,""428"",""511"",""0"",""107"""
"16.02.2021 01:00 - 16.02.2021 01:15,""697"",""750"",""0"",""111"""
"16.02.2021 01:15 - 16.02.2021 01:30,""697"",""750"",""0"",""113"""
"16.02.2021 01:30 - 16.02.2021 01:45,""697"",""762"",""0"",""101"""
"16.02.2021 01:45 - 16.02.2021 02:00,""697"",""765"",""0"",""101"""
"16.02.2021 02:00 - 16.02.2021 02:15,""966"",""1007"",""0"",""308"""
"16.02.2021 02:15 - 16.02.2021 02:30,""966"",""1000"",""0"",""312"""
"16.02.2021 02:30 - 16.02.2021 02:45,""966"",""1007"",""0"",""310"""
"16.02.2021 02:45 - 16.02.2021 03:00,""966"",""1007"",""0"",""314"""
"16.02.2021 03:00 - 16.02.2021 03:15,""1000"",""1133"",""0"",""201"""
"16.02.2021 03:15 - 16.02.2021 03:30,""1000"",""1137"",""0"",""191"""
"16.02.2021 03:30 - 16.02.2021 03:45,""1000"",""1142"",""0"",""149"""
"16.02.2021 03:45 - 16.02.2021 04:00,""1000"",""1147"",""0"",""147"""
"16.02.2021 04:00 - 16.02.2021 04:15,""1000"",""1011"",""0"",""40"""
"16.02.2021 04:15 - 16.02.2021 04:30,""1000"",""1015"",""0"",""31"""
"16.02.2021 04:30 - 16.02.2021 04:45,""1000"",""1011"",""0"",""11"""
"16.02.2021 04:45 - 16.02.2021 05:00,""1000"",""1011"",""0"",""11"""
"16.02.2021 05:00 - 16.02.2021 05:15,""1000"",""1192"",""0"",""322"""
"16.02.2021 05:15 - 16.02.2021 05:30,""1000"",""1130"",""0"",""318"""
"16.02.2021 05:30 - 16.02.2021 05:45,""1000"",""1132"",""0"",""315"""
"16.02.2021 05:45 - 16.02.2021 06:00,""1000"",""1121"",""0"",""315"""
"16.02.2021 06:00 - 16.02.2021 06:15,""1000"",""1014"",""0"",""14"""
"16.02.2021 06:15 - 16.02.2021 06:30,""1000"",""1019"",""0"",""131"""
"16.02.2021 06:30 - 16.02.2021 06:45,""1000"",""1039"",""0"",""134"""
"16.02.2021 06:45 - 16.02.2021 07:00,""1000"",""1029"",""0"",""207"""
"16.02.2021 07:00 - 16.02.2021 07:15,""1000"",""1368"",""0"",""368"""
"16.02.2021 07:15 - 16.02.2021 07:30,""1000"",""1370"",""0"",""371"""
"16.02.2021 07:30 - 16.02.2021 07:45,""1000"",""1304"",""0"",""389"""
"16.02.2021 07:45 - 16.02.2021 08:00,""1000"",""1304"",""0"",""370"""
"16.02.2021 08:00 - 16.02.2021 08:15,""1000"",""1064"",""0"",""205"""
"16.02.2021 08:15 - 16.02.2021 08:30,""1000"",""1069"",""0"",""158"""
"16.02.2021 08:30 - 16.02.2021 08:45,""1000"",""1095"",""0"",""150"""
"16.02.2021 08:45 - 16.02.2021 09:00,""1000"",""1150"",""0"",""153"""
"16.02.2021 09:00 - 16.02.2021 09:15,""1000"",""1033"",""0"",""258"""
"16.02.2021 09:15 - 16.02.2021 09:30,""1000"",""1051"",""0"",""201"""
"16.02.2021 09:30 - 16.02.2021 09:45,""1000"",""1049"",""0"",""114"""
"16.02.2021 09:45 - 16.02.2021 10:00,""1000"",""1049"",""0"",""67"""
"16.02.2021 10:00 - 16.02.2021 10:15,""1000"",""1000"",""0"",""54"""
"16.02.2021 10:15 - 16.02.2021 10:30,""1000"",""1000"",""0"",""0"""
"16.02.2021 10:30 - 16.02.2021 10:45,""1000"",""1000"",""0"",""0"""
"16.02.2021 10:45 - 16.02.2021 11:00,""1000"",""1000"",""0"",""0"""
"16.02.2021 11:00 - 16.02.2021 11:15,""998"",""1000"",""0"",""41"""
"16.02.2021 11:15 - 16.02.2021 11:30,""998"",""1000"",""0"",""15"""
"16.02.2021 11:30 - 16.02.2021 11:45,""998"",""1000"",""0"",""2"""
"16.02.2021 11:45 - 16.02.2021 12:00,""998"",""1000"",""0"",""2"""
"16.02.2021 12:00 - 16.02.2021 12:15,""0"",""0"",""1000"",""1000"""
"16.02.2021 12:15 - 16.02.2021 12:30,""0"",""0"",""1000"",""1000"""
"16.02.2021 12:30 - 16.02.2021 12:45,""0"",""0"",""1000"",""1000"""
"16.02.2021 12:45 - 16.02.2021 13:00,""0"",""0"",""1000"",""1000"""
"16.02.2021 13:00 - 16.02.2021 13:15,""0"",""356"",""149"",""398"""
"16.02.2021 13:15 - 16.02.2021 13:30,""0"",""356"",""149"",""398"""
"16.02.2021 13:30 - 16.02.2021 13:45,""0"",""352"",""149"",""420"""
"16.02.2021 13:45 - 16.02.2021 14:00,""0"",""356"",""149"",""415"""
"16.02.2021 14:00 - 16.02.2021 14:15,""0"",""61"",""997"",""1055"""
"16.02.2021 14:15 - 16.02.2021 14:30,""0"",""60"",""997"",""1042"""
"16.02.2021 14:30 - 16.02.2021 14:45,""0"",""63"",""997"",""1062"""
"16.02.2021 14:45 - 16.02.2021 15:00,""0"",""63"",""997"",""1062"""
"16.02.2021 15:00 - 16.02.2021 15:15,""0"",""0"",""1000"",""1000"""
"16.02.2021 15:15 - 16.02.2021 15:30,""0"",""0"",""1000"",""1000"""
"16.02.2021 15:30 - 16.02.2021 15:45,""0"",""0"",""1000"",""1000"""
"16.02.2021 15:45 - 16.02.2021 16:00,""0"",""0"",""1000"",""1000"""
"16.02.2021 16:00 - 16.02.2021 16:15,""0"",""60"",""1000"",""1030"""
"16.02.2021 16:15 - 16.02.2021 16:30,""0"",""61"",""1000"",""1032"""
"16.02.2021 16:30 - 16.02.2021 16:45,""0"",""51"",""1000"",""1051"""
"16.02.2021 16:45 - 16.02.2021 17:00,""0"",""52"",""1000"",""1050"""
"16.02.2021 17:00 - 16.02.2021 17:15,""0"",""408"",""179"",""189"""
"16.02.2021 17:15 - 16.02.2021 17:30,""0"",""408"",""179"",""189"""
"16.02.2021 17:30 - 16.02.2021 17:45,""0"",""408"",""179"",""189"""
"16.02.2021 17:45 - 16.02.2021 18:00,""0"",""408"",""179"",""189"""
"16.02.2021 18:00 - 16.02.2021 18:15,""507"",""507"",""0"",""0"""
"16.02.2021 18:15 - 16.02.2021 18:30,""507"",""507"",""0"",""0"""
"16.02.2021 18:30 - 16.02.2021 18:45,""507"",""507"",""0"",""0"""
"16.02.2021 18:45 - 16.02.2021 19:00,""507"",""507"",""0"",""0"""
"16.02.2021 19:00 - 16.02.2021 19:15,""431"",""431"",""0"",""0"""
"16.02.2021 19:15 - 16.02.2021 19:30,""431"",""431"",""0"",""0"""
"16.02.2021 19:30 - 16.02.2021 19:45,""431"",""431"",""0"",""0"""
"16.02.2021 19:45 - 16.02.2021 20:00,""431"",""431"",""0"",""0"""
"16.02.2021 20:00 - 16.02.2021 20:15,""18"",""18"",""0"",""0"""
"16.02.2021 20:15 - 16.02.2021 20:30,""18"",""18"",""0"",""0"""
"16.02.2021 20:30 - 16.02.2021 20:45,""18"",""18"",""0"",""0"""
"16.02.2021 20:45 - 16.02.2021 21:00,""18"",""18"",""0"",""0"""
"16.02.2021 21:00 - 16.02.2021 21:15,""191"",""191"",""0"",""0"""
"16.02.2021 21:15 - 16.02.2021 21:30,""191"",""191"",""0"",""0"""
"16.02.2021 21:30 - 16.02.2021 21:45,""191"",""191"",""0"",""0"""
"16.02.2021 21:45 - 16.02.2021 22:00,""191"",""191"",""0"",""0"""
"16.02.2021 22:00 - 16.02.2021 22:15,""0"",""314"",""354"",""372"""
"16.02.2021 22:15 - 16.02.2021 22:30,""0"",""319"",""354"",""372"""
"16.02.2021 22:30 - 16.02.2021 22:45,""0"",""331"",""354"",""372"""
"16.02.2021 22:45 - 16.02.2021 23:00,""0"",""352"",""354"",""372"""
"16.02.2021 23:00 - 16.02.2021 23:15,""0"",""113"",""236"",""236"""
"16.02.2021 23:15 - 16.02.2021 23:30,""0"",""113"",""236"",""236"""
"16.02.2021 23:30 - 16.02.2021 23:45,""0"",""113"",""236"",""236"""
"16.02.2021 23:45 - 17.02.2021 00:00,""0"",""113"",""236"",""236"""
"17.02.2021 00:00 - 17.02.2021 00:15,""0"",""106"",""167"",""167"""
"17.02.2021 00:15 - 17.02.2021 00:30,""0"",""111"",""167"",""167"""
"17.02.2021 00:30 - 17.02.2021 00:45,""0"",""120"",""167"",""167"""
"17.02.2021 00:45 - 17.02.2021 01:00,""0"",""120"",""167"",""167"""
"17.02.2021 01:00 - 17.02.2021 01:15,""0"",""155"",""114"",""399"""
"17.02.2021 01:15 - 17.02.2021 01:30,""0"",""160"",""114"",""399"""
"17.02.2021 01:30 - 17.02.2021 01:45,""0"",""166"",""114"",""396"""
"17.02.2021 01:45 - 17.02.2021 02:00,""0"",""166"",""114"",""396"""
"17.02.2021 02:00 - 17.02.2021 02:15,""241"",""304"",""0"",""684"""
"17.02.2021 02:15 - 17.02.2021 02:30,""241"",""304"",""0"",""688"""
"17.02.2021 02:30 - 17.02.2021 02:45,""241"",""304"",""0"",""655"""
"17.02.2021 02:45 - 17.02.2021 03:00,""241"",""304"",""0"",""655"""
"17.02.2021 03:00 - 17.02.2021 03:15,""484"",""554"",""0"",""415"""
"17.02.2021 03:15 - 17.02.2021 03:30,""484"",""554"",""0"",""416"""
"17.02.2021 03:30 - 17.02.2021 03:45,""484"",""554"",""0"",""418"""
"17.02.2021 03:45 - 17.02.2021 04:00,""484"",""549"",""0"",""415"""
"17.02.2021 04:00 - 17.02.2021 04:15,""0"",""106"",""451"",""451"""
"17.02.2021 04:15 - 17.02.2021 04:30,""0"",""106"",""451"",""451"""
"17.02.2021 04:30 - 17.02.2021 04:45,""0"",""117"",""451"",""455"""
"17.02.2021 04:45 - 17.02.2021 05:00,""0"",""117"",""451"",""455"""
"17.02.2021 05:00 - 17.02.2021 05:15,""0"",""1"",""1000"",""1001"""
"17.02.2021 05:15 - 17.02.2021 05:30,""0"",""23"",""1000"",""1004"""
"17.02.2021 05:30 - 17.02.2021 05:45,""0"",""38"",""1000"",""1014"""
"17.02.2021 05:45 - 17.02.2021 06:00,""0"",""40"",""1000"",""1005"""
"17.02.2021 06:00 - 17.02.2021 06:15,""0"",""194"",""1000"",""1007"""
"17.02.2021 06:15 - 17.02.2021 06:30,""0"",""179"",""1000"",""1006"""
"17.02.2021 06:30 - 17.02.2021 06:45,""0"",""160"",""1000"",""1009"""
"17.02.2021 06:45 - 17.02.2021 07:00,""0"",""137"",""1000"",""1014"""
"17.02.2021 07:00 - 17.02.2021 07:15,""0"",""37"",""1000"",""1008"""
"17.02.2021 07:15 - 17.02.2021 07:30,""0"",""32"",""1000"",""1011"""
"17.02.2021 07:30 - 17.02.2021 07:45,""0"",""21"",""1000"",""1008"""
"17.02.2021 07:45 - 17.02.2021 08:00,""0"",""42"",""1000"",""1011"""
"17.02.2021 08:00 - 17.02.2021 08:15,""0"",""0"",""1000"",""1000"""
"17.02.2021 08:15 - 17.02.2021 08:30,""0"",""0"",""1000"",""1000"""
"17.02.2021 08:30 - 17.02.2021 08:45,""0"",""0"",""1000"",""1000"""
"17.02.2021 08:45 - 17.02.2021 09:00,""0"",""0"",""1000"",""1000"""
"17.02.2021 09:00 - 17.02.2021 09:15,""0"",""0"",""1000"",""1000"""
"17.02.2021 09:15 - 17.02.2021 09:30,""0"",""0"",""1000"",""1000"""
"17.02.2021 09:30 - 17.02.2021 09:45,""0"",""17"",""1000"",""1000"""
"17.02.2021 09:45 - 17.02.2021 10:00,""0"",""16"",""1000"",""1008"""
"17.02.2021 10:00 - 17.02.2021 10:15,""0"",""8"",""1000"",""1003"""
"17.02.2021 10:15 - 17.02.2021 10:30,""0"",""39"",""1000"",""1000"""
"17.02.2021 10:30 - 17.02.2021 10:45,""0"",""32"",""1000"",""1000"""
"17.02.2021 10:45 - 17.02.2021 11:00,""0"",""36"",""1000"",""1000"""
"17.02.2021 11:00 - 17.02.2021 11:15,""0"",""20"",""1000"",""1020"""
"17.02.2021 11:15 - 17.02.2021 11:30,""0"",""31"",""1000"",""1022"""
"17.02.2021 11:30 - 17.02.2021 11:45,""0"",""25"",""1000"",""1019"""
"17.02.2021 11:45 - 17.02.2021 12:00,""0"",""25"",""1000"",""1018"""
"17.02.2021 12:00 - 17.02.2021 12:15,""0"",""12"",""1000"",""1012"""
"17.02.2021 12:15 - 17.02.2021 12:30,""0"",""8"",""1000"",""1008"""
"17.02.2021 12:30 - 17.02.2021 12:45,""0"",""8"",""1000"",""1008"""
"17.02.2021 12:45 - 17.02.2021 13:00,""0"",""5"",""1000"",""1005"""
"17.02.2021 13:00 - 17.02.2021 13:15,""0"",""1"",""1000"",""1001"""
"17.02.2021 13:15 - 17.02.2021 13:30,""0"",""1"",""1000"",""1001"""
"17.02.2021 13:30 - 17.02.2021 13:45,""0"",""0"",""1000"",""1000"""
"17.02.2021 13:45 - 17.02.2021 14:00,""0"",""1"",""1000"",""1000"""
"17.02.2021 14:00 - 17.02.2021 14:15,""716"",""947"",""0"",""86"""
"17.02.2021 14:15 - 17.02.2021 14:30,""716"",""930"",""0"",""82"""
"17.02.2021 14:30 - 17.02.2021 14:45,""716"",""910"",""0"",""114"""
"17.02.2021 14:45 - 17.02.2021 15:00,""716"",""931"",""0"",""86"""
"17.02.2021 15:00 - 17.02.2021 15:15,""740"",""928"",""0"",""56"""
"17.02.2021 15:15 - 17.02.2021 15:30,""740"",""901"",""0"",""23"""
"17.02.2021 15:30 - 17.02.2021 15:45,""740"",""886"",""0"",""24"""
"17.02.2021 15:45 - 17.02.2021 16:00,""740"",""855"",""0"",""79"""
"17.02.2021 16:00 - 17.02.2021 16:15,""877"",""1048"",""0"",""95"""
"17.02.2021 16:15 - 17.02.2021 16:30,""877"",""1013"",""0"",""74"""
