"Time (UTC),""Belgium (BE) > Germany (DE) Day Ahead [MW]"",""Belgium (BE) > Germany (DE) Total [MW]"",""Germany (DE) > Belgium (BE) Day Ahead [MW]"",""Germany (DE) > Belgium (BE) Total [MW]"""
"01.01.2021 18:15 - 01.01.2021 18:30,""0"",""995"",""883"",""977"""
"01.01.2021 18:30 - 01.01.2021 18:45,""0"",""1048"",""883"",""970"""
"01.01.2021 18:45 - 01.01.2021 19:00,""0"",""1061"",""883"",""968"""
"01.01.2021 19:00 - 01.01.2021 19:15,""0"",""511"",""698"",""762"""
"01.01.2021 19:15 - 01.01.2021 19:30,""0"",""608"",""698"",""704"""
"01.01.2021 19:30 - 01.01.2021 19:45,""0"",""663"",""698"",""699"""
"01.01.2021 19:45 - 01.01.2021 20:00,""0"",""662"",""698"",""698"""
"01.01.2021 20:00 - 01.01.2021 20:15,""0"",""358"",""668"",""709"""
"01.01.2021 20:15 - 01.01.2021 20:30,""0"",""480"",""668"",""673"""
"01.01.2021 20:30 - 01.01.2021 20:45,""0"",""474"",""668"",""673"""
"01.01.2021 20:45 - 01.01.2021 21:00,""0"",""486"",""668"",""673"""
"01.01.2021 21:00 - 01.01.2021 21:15,""0"",""463"",""747"",""899"""
"01.01.2021 21:15 - 01.01.2021 21:30,""0"",""536"",""747"",""894"""
"01.01.2021 21:30 - 01.01.2021 21:45,""0"",""563"",""747"",""894"""
"01.01.2021 21:45 - 01.01.2021 22:00,""0"",""523"",""747"",""894"""
"01.01.2021 22:00 - 01.01.2021 22:15,""0"",""155"",""1000"",""1133"""
"01.01.2021 22:15 - 01.01.2021 22:30,""0"",""197"",""1000"",""1076"""
"01.01.2021 22:30 - 01.01.2021 22:45,""0"",""235"",""1000"",""1070"""
"01.01.2021 22:45 - 01.01.2021 23:00,""0"",""247"",""1000"",""1070"""
"01.01.2021 23:00 - 01.01.2021 23:15,""0"",""0"",""901"",""901"""
"01.01.2021 23:15 - 01.01.2021 23:30,""0"",""0"",""901"",""901"""
"01.01.2021 23:30 - 01.01.2021 23:45,""0"",""0"",""901"",""901"""
"01.01.2021 23:45 - 02.01.2021 00:00,""0"",""0"",""901"",""901"""
"02.01.2021 00:00 - 02.01.2021 00:15,""0"",""0"",""1000"",""1000"""
"02.01.2021 00:15 - 02.01.2021 00:30,""0"",""0"",""1000"",""1000"""
"02.01.2021 00:30 - 02.01.2021 00:45,""0"",""0"",""1000"",""1000"""
"02.01.2021 00:45 - 02.01.2021 01:00,""0"",""0"",""1000"",""1000"""
"02.01.2021 01:00 - 02.01.2021 01:15,""0"",""0"",""930"",""930"""
"02.01.2021 01:15 - 02.01.2021 01:30,""0"",""0"",""930"",""930"""
"02.01.2021 01:30 - 02.01.2021 01:45,""0"",""0"",""930"",""930"""
"02.01.2021 01:45 - 02.01.2021 02:00,""0"",""0"",""930"",""930"""
"02.01.2021 02:00 - 02.01.2021 02:15,""0"",""0"",""788"",""788"""
"02.01.2021 02:15 - 02.01.2021 02:30,""0"",""0"",""788"",""788"""
"02.01.2021 02:30 - 02.01.2021 02:45,""0"",""0"",""788"",""788"""
"02.01.2021 02:45 - 02.01.2021 03:00,""0"",""0"",""788"",""788"""
"02.01.2021 03:00 - 02.01.2021 03:15,""0"",""26"",""670"",""902"""
"02.01.2021 03:15 - 02.01.2021 03:30,""0"",""35"",""670"",""894"""
"02.01.2021 03:30 - 02.01.2021 03:45,""0"",""43"",""670"",""893"""
"02.01.2021 03:45 - 02.01.2021 04:00,""0"",""36"",""670"",""893"""
"02.01.2021 04:00 - 02.01.2021 04:15,""0"",""114"",""608"",""801"""
"02.01.2021 04:15 - 02.01.2021 04:30,""0"",""112"",""608"",""811"""
"02.01.2021 04:30 - 02.01.2021 04:45,""0"",""110"",""608"",""814"""
"02.01.2021 04:45 - 02.01.2021 05:00,""0"",""110"",""608"",""821"""
"02.01.2021 05:00 - 02.01.2021 05:15,""0"",""253"",""753"",""836"""
"02.01.2021 05:15 - 02.01.2021 05:30,""0"",""235"",""753"",""835"""
"02.01.2021 05:30 - 02.01.2021 05:45,""0"",""232"",""753"",""838"""
"02.01.2021 05:45 - 02.01.2021 06:00,""0"",""235"",""753"",""844"""
"02.01.2021 06:00 - 02.01.2021 06:15,""0"",""204"",""766"",""859"""
"02.01.2021 06:15 - 02.01.2021 06:30,""0"",""208"",""766"",""868"""
"02.01.2021 06:30 - 02.01.2021 06:45,""0"",""159"",""766"",""871"""
"02.01.2021 06:45 - 02.01.2021 07:00,""0"",""267"",""766"",""865"""
"02.01.2021 07:00 - 02.01.2021 07:15,""0"",""150"",""693"",""715"""
"02.01.2021 07:15 - 02.01.2021 07:30,""0"",""126"",""693"",""712"""
"02.01.2021 07:30 - 02.01.2021 07:45,""0"",""94"",""693"",""712"""
"02.01.2021 07:45 - 02.01.2021 08:00,""0"",""123"",""693"",""732"""
"02.01.2021 08:00 - 02.01.2021 08:15,""0"",""179"",""565"",""578"""
"02.01.2021 08:15 - 02.01.2021 08:30,""0"",""178"",""565"",""582"""
"02.01.2021 08:30 - 02.01.2021 08:45,""0"",""180"",""565"",""588"""
"02.01.2021 08:45 - 02.01.2021 09:00,""0"",""200"",""565"",""582"""
"02.01.2021 09:00 - 02.01.2021 09:15,""0"",""469"",""495"",""515"""
"02.01.2021 09:15 - 02.01.2021 09:30,""0"",""483"",""495"",""513"""
"02.01.2021 09:30 - 02.01.2021 09:45,""0"",""483"",""495"",""517"""
"02.01.2021 09:45 - 02.01.2021 10:00,""0"",""486"",""495"",""513"""
"02.01.2021 10:00 - 02.01.2021 10:15,""0"",""283"",""369"",""392"""
"02.01.2021 10:15 - 02.01.2021 10:30,""0"",""284"",""369"",""390"""
"02.01.2021 10:30 - 02.01.2021 10:45,""0"",""283"",""369"",""388"""
"02.01.2021 10:45 - 02.01.2021 11:00,""0"",""283"",""369"",""393"""
"02.01.2021 11:00 - 02.01.2021 11:15,""0"",""318"",""425"",""435"""
"02.01.2021 11:15 - 02.01.2021 11:30,""0"",""340"",""425"",""434"""
"02.01.2021 11:30 - 02.01.2021 11:45,""0"",""341"",""425"",""434"""
"02.01.2021 11:45 - 02.01.2021 12:00,""0"",""352"",""425"",""435"""
"02.01.2021 12:00 - 02.01.2021 12:15,""0"",""319"",""251"",""463"""
"02.01.2021 12:15 - 02.01.2021 12:30,""0"",""302"",""251"",""454"""
"02.01.2021 12:30 - 02.01.2021 12:45,""0"",""322"",""251"",""450"""
"02.01.2021 12:45 - 02.01.2021 13:00,""0"",""305"",""251"",""438"""
